Country,Year,Value
Belgium,2000,29910.0
Bulgaria,2000,2990.0
Czechia,2000,11440.0
Denmark,2000,42220.0
Germany,2000,29410.0
Estonia,2000,7540.0
Ireland,2000,33300.0
Greece,2000,16800.0
Spain,2000,21640.0
France,2000,28770.0
Croatia,2000,7950.0
Italy,2000,27620.0
Cyprus,2000,20130.0
Latvia,2000,5050.0
Lithuania,2000,5240.0
Luxembourg,2000,72530.0
Hungary,2000,7920.0
Malta,2000,13840.0
Netherlands,2000,35240.0
Austria,2000,31510.0
Poland,2000,6500.0
Portugal,2000,16250.0
Romania,2000,3780.0
Slovenia,2000,13890.0
Slovakia,2000,7840.0
Finland,2000,30500.0
Sweden,2000,34240.0
Iceland,2000,28570.0
Norway,2000,62040.0
Switzerland,2000,51950.0
United Kingdom,2000,27130.0
North Macedonia,2000,2620.0
Albania,2000,1700.0
Serbia,2000,2800.0
Türkiye,2000,6130.0
Belgium,2001,30130.0
Bulgaria,2001,3210.0
Czechia,2001,11830.0
Denmark,2001,42480.0
Germany,2001,29870.0
Estonia,2001,8030.0
Ireland,2001,34520.0
Greece,2001,17490.0
Spain,2001,22380.0
France,2001,29110.0
Croatia,2001,8510.0
Italy,2001,28160.0
Cyprus,2001,20700.0
Latvia,2001,5450.0
Lithuania,2001,5620.0
Luxembourg,2001,73930.0
Hungary,2001,8260.0
Malta,2001,13490.0
Netherlands,2001,35790.0
Austria,2001,31800.0
Poland,2001,6580.0
Portugal,2001,16450.0
Romania,2001,3980.0
Slovenia,2001,14270.0
Slovakia,2001,8100.0
Finland,2001,31240.0
Sweden,2001,34600.0
Iceland,2001,29320.0
Norway,2001,63000.0
Switzerland,2001,52510.0
United Kingdom,2001,27770.0
North Macedonia,2001,2530.0
Albania,2001,1850.0
Serbia,2001,3000.0
Türkiye,2001,5700.0
Belgium,2002,30510.0
Bulgaria,2002,3420.0
Czechia,2002,12040.0
Denmark,2002,42520.0
Germany,2002,29780.0
Estonia,2002,8640.0
Ireland,2002,35930.0
Greece,2002,18240.0
Spain,2002,22630.0
France,2002,29210.0
Croatia,2002,9000.0
Italy,2002,28180.0
Cyprus,2002,21230.0
Latvia,2002,5940.0
Lithuania,2002,6050.0
Luxembourg,2002,75500.0
Hungary,2002,8680.0
Malta,2002,13760.0
Netherlands,2002,35650.0
Austria,2002,32120.0
Poland,2002,6710.0
Portugal,2002,16490.0
Romania,2002,4350.0
Slovenia,2002,14720.0
Slovakia,2002,8460.0
Finland,2002,31690.0
Sweden,2002,35270.0
Iceland,2002,29230.0
Norway,2002,63530.0
Switzerland,2002,52100.0
United Kingdom,2002,28250.0
North Macedonia,2002,2580.0
Albania,2002,1940.0
Serbia,2002,3200.0
Türkiye,2002,5990.0
Belgium,2003,30700.0
Bulgaria,2003,3620.0
Czechia,2003,12430.0
Denmark,2003,42600.0
Germany,2003,29630.0
Estonia,2003,9350.0
Ireland,2003,36400.0
Greece,2003,19250.0
Spain,2003,22870.0
France,2003,29290.0
Croatia,2003,9500.0
Italy,2003,28050.0
Cyprus,2003,21520.0
Latvia,2003,6500.0
Lithuania,2003,6740.0
Luxembourg,2003,76510.0
Hungary,2003,9040.0
Malta,2003,14180.0
Netherlands,2003,35510.0
Austria,2003,32340.0
Poland,2003,6950.0
Portugal,2003,16280.0
Romania,2003,4480.0
Slovenia,2003,15180.0
Slovakia,2003,8870.0
Finland,2003,32250.0
Sweden,2003,35810.0
Iceland,2003,29650.0
Norway,2003,63750.0
Switzerland,2003,51700.0
United Kingdom,2003,29060.0
North Macedonia,2003,2640.0
Albania,2003,2060.0
Serbia,2003,3350.0
Türkiye,2003,6260.0
Belgium,2004,31660.0
Bulgaria,2004,3870.0
Czechia,2004,13020.0
Denmark,2004,43670.0
Germany,2004,30010.0
Estonia,2004,10060.0
Ireland,2004,38200.0
Greece,2004,20240.0
Spain,2004,23210.0
France,2004,29910.0
Croatia,2004,9890.0
Italy,2004,28250.0
Cyprus,2004,22300.0
Latvia,2004,7150.0
Lithuania,2004,7260.0
Luxembourg,2004,78660.0
Hungary,2004,9510.0
Malta,2004,14140.0
Netherlands,2004,36100.0
Austria,2004,32960.0
Poland,2004,7310.0
Portugal,2004,16530.0
Romania,2004,4970.0
Slovenia,2004,15860.0
Slovakia,2004,9340.0
Finland,2004,33440.0
Sweden,2004,37160.0
Iceland,2004,31680.0
Norway,2004,65920.0
Switzerland,2004,52750.0
United Kingdom,2004,29560.0
North Macedonia,2004,2770.0
Albania,2004,2180.0
Serbia,2004,3580.0
Türkiye,2004,6790.0
Belgium,2005,32220.0
Bulgaria,2005,4170.0
Czechia,2005,13810.0
Denmark,2005,44580.0
Germany,2005,30320.0
Estonia,2005,11070.0
Ireland,2005,39500.0
Greece,2005,20420.0
Spain,2005,23600.0
France,2005,30250.0
Croatia,2005,10310.0
Italy,2005,28300.0
Cyprus,2005,23050.0
Latvia,2005,8060.0
Lithuania,2005,7950.0
Luxembourg,2005,79370.0
Hungary,2005,9940.0
Malta,2005,14450.0
Netherlands,2005,36750.0
Austria,2005,33500.0
Poland,2005,7550.0
Portugal,2005,16630.0
Romania,2005,5230.0
Slovenia,2005,16440.0
Slovakia,2005,9940.0
Finland,2005,34250.0
Sweden,2005,38060.0
Iceland,2005,33100.0
Norway,2005,67240.0
Switzerland,2005,53880.0
United Kingdom,2005,30210.0
North Macedonia,2005,2920.0
Albania,2005,2310.0
Serbia,2005,3810.0
Türkiye,2005,7310.0
Belgium,2006,32820.0
Bulgaria,2006,4480.0
Czechia,2006,14680.0
Denmark,2006,46120.0
Germany,2006,31550.0
Estonia,2006,12230.0
Ireland,2006,40400.0
Greece,2006,21670.0
Spain,2006,24160.0
France,2006,30870.0
Croatia,2006,10830.0
Italy,2006,28690.0
Cyprus,2006,23740.0
Latvia,2006,9180.0
Lithuania,2006,8680.0
Luxembourg,2006,82860.0
Hungary,2006,10350.0
Malta,2006,14740.0
Netherlands,2006,37990.0
Austria,2006,34410.0
Poland,2006,8020.0
Portugal,2006,16860.0
Romania,2006,5690.0
Slovenia,2006,17350.0
Slovakia,2006,10820.0
Finland,2006,35490.0
Sweden,2006,39590.0
Iceland,2006,34370.0
Norway,2006,68330.0
Switzerland,2006,55730.0
United Kingdom,2006,30810.0
Montenegro,2006,4580.0
North Macedonia,2006,3080.0
Albania,2006,2460.0
Serbia,2006,3970.0
Türkiye,2006,7720.0
Belgium,2007,33780.0
Bulgaria,2007,4800.0
Czechia,2007,15400.0
Denmark,2007,46380.0
Germany,2007,32540.0
Estonia,2007,13230.0
Ireland,2007,41290.0
Greece,2007,22370.0
Spain,2007,24530.0
France,2007,31460.0
Croatia,2007,11370.0
Italy,2007,28940.0
Cyprus,2007,24420.0
Latvia,2007,10220.0
Lithuania,2007,9760.0
Luxembourg,2007,88120.0
Hungary,2007,10400.0
Malta,2007,15430.0
Netherlands,2007,39380.0
Austria,2007,35600.0
Poland,2007,8570.0
Portugal,2007,17250.0
Romania,2007,6190.0
Slovenia,2007,18490.0
Slovakia,2007,11980.0
Finland,2007,37220.0
Sweden,2007,40590.0
Iceland,2007,36340.0
Norway,2007,69600.0
Switzerland,2007,57400.0
United Kingdom,2007,31280.0
Montenegro,2007,4890.0
North Macedonia,2007,3300.0
Albania,2007,2630.0
Serbia,2007,4300.0
Türkiye,2007,8010.0
Belgium,2008,33660.0
Bulgaria,2008,5120.0
Czechia,2008,15640.0
Denmark,2008,45910.0
Germany,2008,32930.0
Estonia,2008,12590.0
Ireland,2008,38590.0
Greece,2008,22320.0
Spain,2008,24320.0
France,2008,31410.0
Croatia,2008,11600.0
Italy,2008,28420.0
Cyprus,2008,24680.0
Latvia,2008,9980.0
Lithuania,2008,10110.0
Luxembourg,2008,86330.0
Hungary,2008,10520.0
Malta,2008,16000.0
Netherlands,2008,40060.0
Austria,2008,36000.0
Poland,2008,8940.0
Portugal,2008,17280.0
Romania,2008,6880.0
Slovenia,2008,19080.0
Slovakia,2008,12600.0
Finland,2008,37340.0
Sweden,2008,39900.0
Iceland,2008,36460.0
Norway,2008,69070.0
Switzerland,2008,58310.0
United Kingdom,2008,30940.0
Montenegro,2008,5230.0
North Macedonia,2008,3500.0
Albania,2008,2850.0
Serbia,2008,4540.0
Türkiye,2008,7980.0
Belgium,2009,32760.0
Bulgaria,2009,4970.0
Czechia,2009,14800.0
Denmark,2009,43390.0
Germany,2009,31210.0
Estonia,2009,10770.0
Ireland,2009,36280.0
Greece,2009,21350.0
Spain,2009,23210.0
France,2009,30370.0
Croatia,2009,10820.0
Italy,2009,26760.0
Cyprus,2009,23550.0
Latvia,2009,8520.0
Lithuania,2009,8710.0
Luxembourg,2009,82020.0
Hungary,2009,9830.0
Malta,2009,15660.0
Netherlands,2009,38390.0
Austria,2009,34630.0
Poland,2009,9090.0
Portugal,2009,16730.0
Romania,2009,6560.0
Slovenia,2009,17460.0
Slovakia,2009,11880.0
Finland,2009,34160.0
Sweden,2009,37880.0
Iceland,2009,33550.0
Norway,2009,66880.0
Switzerland,2009,56340.0
United Kingdom,2009,29460.0
Montenegro,2009,4920.0
North Macedonia,2009,3510.0
Albania,2009,2960.0
Serbia,2009,4410.0
Türkiye,2009,7490.0
Belgium,2010,33340.0
Bulgaria,2010,5080.0
Czechia,2010,15170.0
Denmark,2010,43880.0
Germany,2010,32590.0
Estonia,2010,11060.0
Ireland,2010,36720.0
Greece,2010,20100.0
Spain,2010,23130.0
France,2010,30830.0
Croatia,2010,10700.0
Italy,2010,27050.0
Cyprus,2010,23460.0
Latvia,2010,8380.0
Lithuania,2010,8930.0
Luxembourg,2010,83550.0
Hungary,2010,9960.0
Malta,2010,16550.0
Netherlands,2010,38700.0
Austria,2010,35170.0
Poland,2010,9490.0
Portugal,2010,17010.0
Romania,2010,6340.0
Slovenia,2010,17600.0
Slovakia,2010,12660.0
Finland,2010,35080.0
Sweden,2010,39710.0
Iceland,2010,32990.0
Norway,2010,66580.0
Switzerland,2010,57720.0
United Kingdom,2010,29830.0
Montenegro,2010,5050.0
North Macedonia,2010,3650.0
Albania,2010,3090.0
Serbia,2010,4500.0
Türkiye,2010,8000.0
Belgium,2011,33540.0
Bulgaria,2011,5320.0
Czechia,2011,15470.0
Denmark,2011,44270.0
Germany,2011,33810.0
Estonia,2011,11930.0
Ireland,2011,37170.0
Greece,2011,18150.0
Spain,2011,22900.0
France,2011,31430.0
Croatia,2011,10730.0
Italy,2011,27140.0
Cyprus,2011,22970.0
Latvia,2011,8790.0
Lithuania,2011,9710.0
Luxembourg,2011,82490.0
Hungary,2011,10180.0
Malta,2011,16640.0
Netherlands,2011,39200.0
Austria,2011,36080.0
Poland,2011,9980.0
Portugal,2011,16720.0
Romania,2011,6650.0
Slovenia,2011,17680.0
Slovakia,2011,13060.0
Finland,2011,35750.0
Sweden,2011,40660.0
Iceland,2011,33840.0
Norway,2011,66440.0
Switzerland,2011,58240.0
United Kingdom,2011,29960.0
Montenegro,2011,5200.0
North Macedonia,2011,3750.0
Albania,2011,3180.0
Serbia,2011,4540.0
Türkiye,2011,8760.0
Belgium,2012,33410.0
Bulgaria,2012,5420.0
Czechia,2012,15330.0
Denmark,2012,44110.0
Germany,2012,33910.0
Estonia,2012,12410.0
Ireland,2012,36870.0
Greece,2012,16720.0
Spain,2012,22240.0
France,2012,31340.0
Croatia,2012,10520.0
Italy,2012,26220.0
Cyprus,2012,21840.0
Latvia,2012,9550.0
Lithuania,2012,10270.0
Luxembourg,2012,81940.0
Hungary,2012,10100.0
Malta,2012,17190.0
Netherlands,2012,38680.0
Austria,2012,36140.0
Poland,2012,10130.0
Portugal,2012,16110.0
Romania,2012,6810.0
Slovenia,2012,17130.0
Slovakia,2012,13240.0
Finland,2012,35040.0
Sweden,2012,40200.0
Iceland,2012,33980.0
Norway,2012,67350.0
Switzerland,2012,58290.0
United Kingdom,2012,30190.0
Montenegro,2012,5060.0
North Macedonia,2012,3750.0
Albania,2012,3230.0
Serbia,2012,4540.0
Türkiye,2012,9070.0
Belgium,2013,33350.0
Bulgaria,2013,5470.0
Czechia,2013,15330.0
Denmark,2013,44540.0
Germany,2013,33950.0
Estonia,2013,12680.0
Ireland,2013,37500.0
Greece,2013,16460.0
Spain,2013,22000.0
France,2013,31430.0
Croatia,2013,10540.0
Italy,2013,25690.0
Cyprus,2013,20450.0
Latvia,2013,9850.0
Lithuania,2013,10790.0
Luxembourg,2013,82400.0
Hungary,2013,10350.0
Malta,2013,18030.0
Netherlands,2013,38550.0
Austria,2013,35840.0
Poland,2013,10210.0
Portugal,2013,16030.0
Romania,2013,6850.0
Slovenia,2013,16960.0
Slovakia,2013,13320.0
Finland,2013,34540.0
Sweden,2013,40310.0
Iceland,2013,35160.0
Norway,2013,67220.0
Switzerland,2013,58650.0
United Kingdom,2013,30660.0
Montenegro,2013,5230.0
North Macedonia,2013,3880.0
Albania,2013,3260.0
Serbia,2013,4590.0
Türkiye,2013,9710.0
Belgium,2014,33790.0
Bulgaria,2014,5590.0
Czechia,2014,15670.0
Denmark,2014,44870.0
Germany,2014,34540.0
Estonia,2014,13140.0
Ireland,2014,40710.0
Greece,2014,16700.0
Spain,2014,22400.0
France,2014,31580.0
Croatia,2014,10530.0
Italy,2014,25690.0
Cyprus,2014,20310.0
Latvia,2014,10150.0
Lithuania,2014,11290.0
Luxembourg,2014,82590.0
Hungary,2014,10840.0
Malta,2014,19020.0
Netherlands,2014,39030.0
Austria,2014,35830.0
Poland,2014,10620.0
Portugal,2014,16240.0
Romania,2014,7160.0
Slovenia,2014,17410.0
Slovakia,2014,13670.0
Finland,2014,34220.0
Sweden,2014,40820.0
Iceland,2014,35350.0
Norway,2014,67830.0
Switzerland,2014,59300.0
United Kingdom,2014,31290.0
Montenegro,2014,5320.0
North Macedonia,2014,4030.0
Albania,2014,3330.0
Serbia,2014,4520.0
Türkiye,2014,10050.0
Belgium,2015,34090.0
Bulgaria,2015,5850.0
Czechia,2015,16440.0
Denmark,2015,45500.0
Germany,2015,34810.0
Estonia,2015,13410.0
Ireland,2015,50270.0
Greece,2015,16780.0
Spain,2015,23340.0
France,2015,31780.0
Croatia,2015,10850.0
Italy,2015,25960.0
Cyprus,2015,21170.0
Latvia,2015,10630.0
Lithuania,2015,11710.0
Luxembourg,2015,82820.0
Hungary,2015,11280.0
Malta,2015,20360.0
Netherlands,2015,39680.0
Austria,2015,35930.0
Poland,2015,11090.0
Portugal,2015,16560.0
Romania,2015,7420.0
Slovenia,2015,17820.0
Slovakia,2015,14360.0
Finland,2015,34270.0
Sweden,2015,42170.0
Iceland,2015,36570.0
Norway,2015,68390.0
Switzerland,2015,59540.0
United Kingdom,2015,31780.0
Montenegro,2015,5500.0
North Macedonia,2015,4190.0
Albania,2015,3410.0
Serbia,2015,4610.0
Türkiye,2015,10520.0
Belgium,2016,34320.0
Bulgaria,2016,6110.0
Czechia,2016,16860.0
Denmark,2016,46520.0
Germany,2016,35320.0
Estonia,2016,13800.0
Ireland,2016,50280.0
Greece,2016,16840.0
Spain,2016,24000.0
France,2016,31930.0
Croatia,2016,11320.0
Italy,2016,26330.0
Cyprus,2016,22410.0
Latvia,2016,11000.0
Lithuania,2016,12160.0
Luxembourg,2016,84750.0
Hungary,2016,11600.0
Malta,2016,20710.0
Netherlands,2016,40430.0
Austria,2016,36230.0
Poland,2016,11440.0
Portugal,2016,16930.0
Romania,2016,7680.0
Slovenia,2016,18350.0
Slovakia,2016,14620.0
Finland,2016,35060.0
Sweden,2016,42660.0
Iceland,2016,38310.0
Norway,2016,68580.0
Switzerland,2016,60130.0
United Kingdom,2016,32060.0
Montenegro,2016,5660.0
North Macedonia,2016,4330.0
Albania,2016,3530.0
Serbia,2016,4770.0
Türkiye,2016,10730.0
Belgium,2017,34700.0
Bulgaria,2017,6360.0
Czechia,2017,17720.0
Denmark,2017,47640.0
Germany,2017,36150.0
Estonia,2017,14580.0
Ireland,2017,54540.0
Greece,2017,17120.0
Spain,2017,24650.0
France,2017,32470.0
Croatia,2017,11810.0
Italy,2017,26800.0
Cyprus,2017,23480.0
Latvia,2017,11480.0
Lithuania,2017,12880.0
Luxembourg,2017,84020.0
Hungary,2017,12110.0
Malta,2017,22760.0
Netherlands,2017,41310.0
Austria,2017,36820.0
Poland,2017,12020.0
Portugal,2017,17520.0
Romania,2017,8360.0
Slovenia,2017,19280.0
Slovakia,2017,15020.0
Finland,2017,36130.0
Sweden,2017,42820.0
Iceland,2017,38970.0
Norway,2017,69720.0
Switzerland,2017,60380.0
United Kingdom,2017,32430.0
Montenegro,2017,5920.0
North Macedonia,2017,4390.0
Albania,2017,3670.0
Serbia,2017,4910.0
Türkiye,2017,11380.0
Belgium,2018,35190.0
Bulgaria,2018,6610.0
Czechia,2018,18200.0
Denmark,2018,48290.0
Germany,2018,36440.0
Estonia,2018,15070.0
Ireland,2018,57820.0
Greece,2018,17510.0
Spain,2018,25130.0
France,2018,32850.0
Croatia,2018,12270.0
Italy,2018,27080.0
Cyprus,2018,24650.0
Latvia,2018,12070.0
Lithuania,2018,13630.0
Luxembourg,2018,83390.0
Hungary,2018,12820.0
Malta,2018,23540.0
Netherlands,2018,42000.0
Austria,2018,37550.0
Poland,2018,12780.0
Portugal,2018,18040.0
Romania,2018,8920.0
Slovenia,2018,20070.0
Slovakia,2018,15610.0
Finland,2018,36510.0
Sweden,2018,43130.0
Iceland,2018,39870.0
Norway,2018,69840.0
Switzerland,2018,61660.0
United Kingdom,2018,32640.0
Montenegro,2018,6230.0
North Macedonia,2018,4540.0
Albania,2018,3830.0
Serbia,2018,5160.0
Türkiye,2018,11570.0
Belgium,2019,35850.0
Bulgaria,2019,6960.0
Czechia,2019,18820.0
Denmark,2019,48920.0
Germany,2019,36720.0
Estonia,2019,15570.0
Ireland,2019,59800.0
Greece,2019,17930.0
Spain,2019,25420.0
France,2019,33390.0
Croatia,2019,12980.0
Italy,2019,27260.0
Cyprus,2019,25740.0
Latvia,2019,12230.0
Lithuania,2019,14300.0
Luxembourg,2019,84070.0
Hungary,2019,13490.0
Malta,2019,23520.0
Netherlands,2019,42680.0
Austria,2019,38040.0
Poland,2019,13370.0
Portugal,2019,18500.0
Romania,2019,9310.0
Slovenia,2019,20600.0
Slovakia,2019,15940.0
Finland,2019,36970.0
Sweden,2019,43760.0
Iceland,2019,39920.0
Norway,2019,70150.0
Switzerland,2019,61920.0
United Kingdom,2019,32910.0
Montenegro,2019,6480.0
North Macedonia,2019,4750.0
Albania,2019,4360.0
Serbia,2019,5440.0
Türkiye,2019,11500.0
Belgium,2020,33990.0
Bulgaria,2020,6810.0
Czechia,2020,17900.0
Denmark,2020,47940.0
Germany,2020,35180.0
Estonia,2020,15070.0
Ireland,2020,63220.0
Greece,2020,16320.0
Spain,2020,22510.0
France,2020,30800.0
Croatia,2020,12010.0
Italy,2020,24960.0
Cyprus,2020,24630.0
Latvia,2020,11890.0
Lithuania,2020,14310.0
Luxembourg,2020,82030.0
Hungary,2020,12930.0
Malta,2020,22260.0
Netherlands,2020,40800.0
Austria,2020,35480.0
Poland,2020,13370.0
Portugal,2020,16940.0
Romania,2020,9020.0
Slovenia,2020,19630.0
Slovakia,2020,15510.0
Finland,2020,35990.0
Sweden,2020,42600.0
Iceland,2020,36690.0
Norway,2020,68850.0
Switzerland,2020,60140.0
Montenegro,2020,5490.0
North Macedonia,2020,4580.0
Albania,2020,4230.0
Serbia,2020,5420.0
Türkiye,2020,11600.0
Belgium,2021,35950.0
Bulgaria,2021,7380.0
Czechia,2021,18620.0
Denmark,2021,51260.0
Germany,2021,36460.0
Estonia,2021,16140.0
Ireland,2021,72670.0
Greece,2021,17820.0
Spain,2021,24020.0
France,2021,32800.0
Croatia,2021,13620.0
Italy,2021,27330.0
Cyprus,2021,27180.0
Latvia,2021,12820.0
Lithuania,2021,15240.0
Luxembourg,2021,86540.0
Hungary,2021,13910.0
Malta,2021,25070.0
Netherlands,2021,43140.0
Austria,2021,37040.0
Poland,2021,14370.0
Portugal,2021,17840.0
Romania,2021,9590.0
Slovenia,2021,21230.0
Slovakia,2021,16460.0
Finland,2021,36880.0
Sweden,2021,44860.0
Iceland,2021,38040.0
Norway,2021,71160.0
Switzerland,2021,63020.0
Montenegro,2021,6230.0
North Macedonia,2021,4830.0
Albania,2021,4660.0
Serbia,2021,5910.0
Türkiye,2021,12810.0
Belgium,2022,37170.0
Bulgaria,2022,7730.0
Czechia,2022,18690.0
Denmark,2022,51600.0
Germany,2022,36690.0
Estonia,2022,16130.0
Ireland,2022,77300.0
Greece,2022,18960.0
Spain,2022,25270.0
France,2022,33540.0
Croatia,2022,14630.0
Italy,2022,28670.0
Cyprus,2022,28790.0
Latvia,2022,13040.0
Lithuania,2022,15500.0
Luxembourg,2022,85850.0
Hungary,2022,14540.0
Malta,2022,25470.0
Netherlands,2022,44870.0
Austria,2022,38560.0
Poland,2022,14800.0
Portugal,2022,18970.0
Romania,2022,10020.0
Slovenia,2022,21790.0
Slovakia,2022,16480.0
Finland,2022,37060.0
Sweden,2022,45030.0
Iceland,2022,40510.0
Norway,2022,72640.0
Switzerland,2022,64390.0
Montenegro,2022,6650.0
North Macedonia,2022,4980.0
Albania,2022,4940.0
Serbia,2022,6220.0
Türkiye,2022,13380.0
Belgium,2023,37310.0
Bulgaria,2023,7900.0
Czechia,2023,18480.0
Denmark,2023,52510.0
Germany,2023,36290.0
Estonia,2023,15250.0
Ireland,2023,71700.0
Greece,2023,19460.0
Spain,2023,25620.0
France,2023,33750.0
Croatia,2023,15020.0
Italy,2023,28880.0
Cyprus,2023,29080.0
Latvia,2023,13300.0
Lithuania,2023,15330.0
Luxembourg,2023,83320.0
Hungary,2023,14430.0
Malta,2023,26110.0
Netherlands,2023,44460.0
Austria,2023,37860.0
Poland,2023,14880.0
Portugal,2023,19250.0
Romania,2023,10250.0
Slovenia,2023,22130.0
Slovakia,2023,16710.0
Finland,2023,36470.0
Sweden,2023,44620.0
Iceland,2023,41490.0
Norway,2023,71870.0
Switzerland,2023,63870.0
Montenegro,2023,6900.0
Serbia,2023,6500.0
Türkiye,2023,14010.0
